RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Load,Class_3,Normalized_Power,Normalized_Load
2.171,236.968,14,85,248,25,3,2,0.368,0.933
2.201,240.431,12,75,245,25,2,2,0.324,0.8
2.107,240.542,15,75,245,24,4,2,0.324,1.0
2.446,237.173,3,95,276,28,2,3,0.779,0.2
2.165,240.259,1,75,241,25,1,2,0.265,0.067
2.16,240.4,8,85,239,24,1,2,0.235,0.533
2.187,240.67,3,85,243,25,2,2,0.294,0.2
2.455,236.92,4,95,268,27,1,3,0.662,0.267
2.23,237.172,7,85,247,25,3,2,0.353,0.467
2.418,236.952,11,95,276,28,3,3,0.779,0.733
2.202,239.7,14,75,245,25,3,2,0.324,0.933
2.172,239.952,7,75,245,25,3,2,0.324,0.467
2.422,237.051,9,95,270,27,2,3,0.691,0.6
2.404,237.169,9,95,269,27,2,3,0.676,0.6
2.171,239.968,4,85,244,25,1,2,0.309,0.267
2.131,240.259,0,45,234,24,0,1,0.162,0.0
